Lause_ID;Afiksaaladverb;Verb
aja_ee199920_781;kaasa;tegema
aja_ee200110_1030;üle;andma
aja_ee200110_692;juurde;andma
aja_ee200110_948;välja;andma
aja_ee200110_951;välja;andma
aja_ee200110_951;välja;andma
aja_ee200110_951;välja;andma
aja_ee200110_951;välja;andma
aja_luup200009_473;vastu;võtma
aja_luup200009_52;üle;andma
aja_luup200106_852;vastu;võtma
aja_luup200202_394;ära;tegema
aja_ml200247_1048;vastu;võtma
aja_ml200247_29;ära;tegema
aja_pm19980926_273;välja;andma
aja_pm20000218_1078;vastu;võtma
aja_pm20000218_1479;edasi;andma
aja_pm20001004_932;ära;tegema
aja_sloleht20071217_977;vastu;võtma
