Ühend;Lause_ID;Leitud ühendikandidaat;Komponendi seos;Komponendi kääne;Passiiv;Reegel;Lause tekst;Noomeni token;Verbi token
rõõm:Par tundma;aja_ee199920_1016;Tundkem rõõmu;obj;Par;ei;obj;Tundkem parem rõõmu selle üle, mida ta suutis meile pärandada.;3;1
asi:Par ajama;aja_ee199920_1036;asja aeti;obj;Par;jah;obj;"Kirsel ei oska öelda, kui suur kvartal 20 on ja kui palju ajakirjanikke lõpuks seal viimse puhkepaiga leiab: ""Kui Tootsen veel Pirita halduskogus oli, siis seda asja aeti, aga detailplaneeringut sellele kvartalile ei ole.""";31;32
otsus:obj tegema;aja_ee199920_1080;Otsuse tegi;obj;Gen;ei;obj;Otsuse Hannoveri näitusel osaleda tegi valitsus täpselt neli aastat tagasi.;1;5
põhjus:Par andma;aja_ee199920_1186;annab põhjust;obj;Par;ei;obj;Kas see annab põhjust muretsemiseks?;4;3
remont:Par tegema;aja_ee199920_1252;tehtud remont;obj;Nom;jah;obj;Esimesel korrusel on tehtud remont, teisel ilmselt mitte.;5;4
huvi:Par tundma;aja_ee199920_1441;huvi tunnen;obj;Par;ei;obj;Tunnistan üles, et on väga palju põhjusi, miks ma ooperi vastu huvi tunnen, kuid peamine on see, et ma tahan luua image'it, kujundeid.;14;15
märkus:obj tegema;aja_ee199920_153;tegin märkuse;obj;Gen;ei;obj;"""Kunagi viisteist aastat tagasi, kui Savisaar oli veel Tallinna Mererajooni plaanikomisjoni esimees, tegin talle märkuse, et miks ta tuleb tossudega linnavalitsuse ette.""";18;16
otsus:obj tegema;aja_ee199920_1647;teeb otsuse;obj;Gen;ei;obj;Nüüd, eluõhtusse jõudnuna, teeb ta arutu otsuse, mis viib tema ja ta noored kaaslased selgesse hukatusse.;9;6
tunnistus:Par andma;aja_ee199920_1667;annab tunnistust;obj;Par;ei;obj;Fakt annab tunnistust asjaolust, et Eesti Vabariigi pinnal toimib kohati ikka veel nõukogulik tsensuur, sest pildi eemaldamist näituselt dikteerisid poliitilised ringkonnad.;3;2
põhjus:Par andma;aja_ee199920_1724;andis põhjust;obj;Par;ei;obj;Omakultuuriõhtu üks nael -- Udmurdi lauljatar Nadežda Utkina andis seevastu oma kiirgava olemise ja naturaalkitarriga korduvalt põhjust ovatsioonideks.;17;9
musi:Par andma;aja_ee199920_1825;musi anda;obj;Par;ei;obj;Kui Karl Martin nägi seto memmekesi rahvariietes, siis ta ütles, et vanad naised ei ole talle kunagi meeldinud, aga niimoodi, väärikates rahvariietes, tahaks neile kohe musi anda.;31;32
kokku_võte:obj tegema;aja_ee199920_1862;teha kokkuvõtteid;obj;Par;ei;obj;Üldiselt, praegu ei julge veel teha kokkuvõtteid.;8;7
oletus:Par tegema;aja_ee199920_2082;oletusi teha;obj;Par;ei;obj;Kuigi nooruse karmus ei luba veini küpsete päevade elegantsi kohta oletusi teha, on tegu ilmselgelt auahne veiniga, mille maitsepalett juba praegu külluslik.;11;12
inspiratsioon:Par andma;aja_ee199920_2153;anda inspiratsiooni;obj;Gen;ei;obj;Mitmed jazzivõtted, näiteks riff, võiks anda selleks inspiratsiooni.;10;8
hääl:Par tegema;aja_ee199920_2270;teeb häält;obj;Par;ei;obj;"Taavi Eelmaa näo ja figuuriga laulja Daniel Agusti hooleks jääb pophittide (""Ladyshave"") kuuldavale toomine, paar nädalat tagasi bändist lahkunud Hafdis Huld aga teeb häält tumedatoonilistes trip-hop bassikeerdudes.";29;28
korraldus:obj andma;aja_ee199920_2376;andis korralduse;obj;Gen;ei;obj;Kui jätta kõrvale keerulised jaapanipärased viisakusvormelid, siis andis Leopold-san mulle korralduse silmapilk oma soolikad välja lasta -- see tähendab, sooritada harakiri!;12;9
viga:obj tegema;aja_ee199920_2388;viga teha;obj;Par;ei;obj;Sekundandi kohus on seppukut sooritaval samurail pea ühe hoobiga otsast ära lüüa, enne kui samurai jõuab pistodaga endale tõsiselt viga teha.;21;22
laen:Par võtma;aja_ee199920_361;võeti laen;obj;Nom;jah;obj;Projekti käivitamiseks võeti Forekspangast 3miljoniline laen.;6;3
löök:Par andma;aja_ee199920_389;löögi andis;obj;Gen;ei;obj;Viimase löögi andis suusakeskusele nelja väikese palkmaja ehitamine.;2;3
läbi_rääkimine:Par pidama;aja_ee199920_398;peetud läbirääkimised;obj;Nom;jah;obj;"""Ekspertide hinnang ettevõtte tegelikule väärtusele selgub, kui on peetud läbirääkimised finantsasutuste ja uute strateegiliste investoritega,"" ütles Saarsoo.";12;11
laen:Par võtma;aja_ee199920_439;Laenu võtta;obj;Par;ei;obj;Laenu on kerge võtta, aga elada pidevas finantssurutises on märgatavalt keerulisem.;1;4
huvi:Par tundma;aja_ee199920_460;huvi tundsid;obj;Par;ei;obj;"Nad tahtsid siia tulla olukorraga tutvuma, "" lausub Karu ja loetleb veel terve rea firmasid, mis Cannes'i kinnisvaramessil Tallinna sadamapiirkonna vastu huvi tundsid.";24;25
huvi:Par tundma;aja_ee199920_49;tunneb huvi;obj;Par;ei;obj;Kohe pärast Eesti Ekspressi kõnet võttis aga Baltreil Hansapangaga ühendust ja küsis, et mis toimub, et Eesti Ekspress tunneb asja vastu huvi.;24;21
investeering:Par tegema;aja_ee199920_497;teinud investeeringuid;obj;Par;ei;obj;Riga on teinud headel aastatel suuri investeeringuid.;7;3
asi:Par ajama;aja_ee199920_507;aetakse asju;obj;Par;jah;obj;Ta on käinud vaatamas talusid Lätis, Leedus, Poolas ja teab, et seal aetakse asju vaoshoitumalt.;17;16
valik:obj tegema;aja_ee199920_533;teeb valiku;obj;Gen;ei;obj;Kauplustes pakendatud toiduaineid ja valmisroogi valides teeb tarbija valiku aga kaubamärgist lähtudes: võibolla on tal sellenimelise tootega head kogemused, võibolla meeldis reklaam ajalehes, televisioonis või reklaamplakatil.;9;7
huvi:Par tundma;aja_ee199920_559;tunnevad huvi;obj;Par;ei;obj;Firma juhid tunnevad huvi iga paiga vastu maailmas, kus elustandard tõuseb ja maksujõuline tarbijaskond suureneb.;4;3
sisse_ost:Par tegema;aja_ee199920_572;teevad sisseostud;obj;Nom;ei;obj;Ometi võib nii Šveitsi kui ka teiste tööstusriikide näitel leida ka nišše: kellel on aega, teevad meelsasti oma sisseostud turult talupidajatelt ja kaluritelt.;21;18
korraldus:obj andma;aja_ee199920_604;Korralduse andis;obj;Gen;ei;obj;"""Korralduse hiigeloperatsiooni läbiviimiseks andis härra Meri,"" jutustab kaitseliidu luurepealik James Blond.";2;5
tunnistus:Par andma;aja_ee199920_636;annavad tunnistusi;obj;Par;ei;obj;Traktoriostjad annavad Mustamäe haiglas tunnistusi, ründaja seisukord on endiselt ülikriitiline.;5;2
kõne:obj pidama;aja_ee199920_684;peab kõne;obj;Gen;ei;obj;Kell pool seitse õhtul peab Meri Kopenhaageni foorumil kõne, kus arutleb Euroopa Liidu laienemise üle ning väidab, et uute riikide liitumine tuleb liidule kasuks, kuna sunnib liitu ennast liigutama.;9;5
